SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
CMP;0.5;0.1;60pos;96;5;0.9304;0.8913;-0.0391
CMP;0.5;0.2;1;10;5;0.2974;0.3601;+0.0628
CMP;0.5;0.2;1;20;5;0.6611;0.6158;-0.0453
CMP;0.5;0.2;1;30;5;0.5175;0.5066;-0.0109
CMP;0.5;0.2;1;40;3;0.7299;0.6440;-0.0859
CMP;0.5;0.2;1;80;1;0.9704;0.9512;-0.0192
CMP;0.5;0.2;40pos;16;5;0.4453;0.3759;-0.0695
CMP;0.5;0.2;40pos;24;5;0.7862;0.7414;-0.0448
CMP;0.5;0.2;40pos;32;4;0.6011;0.6011;-0.0001
CMP;0.5;0.2;40pos;48;2;0.9608;0.9112;-0.0495
CMP;0.5;0.2;40pos;8;5;0.1687;0.1870;+0.0183
CMP;0.5;0.2;60pos;12;5;0.4748;0.4695;-0.0053
CMP;0.5;0.2;60pos;24;5;0.7808;0.7371;-0.0437
CMP;0.5;0.2;60pos;36;4;0.7764;0.7064;-0.0700
CMP;0.5;0.2;60pos;48;4;0.7952;0.7431;-0.0520
CMP;0.5;0.2;60pos;72;3;0.9707;0.9639;-0.0069
CMP;0.5;0.2;60pos;96;1;0.9608;0.8250;-0.1357
CMP;0.75;0.0;1;10;5;0.9408;0.8286;-0.1122
CMP;0.75;0.0;1;20;5;0.9594;0.9317;-0.0277
CMP;0.75;0.0;1;30;5;0.9723;0.9477;-0.0246
CMP;0.75;0.0;1;40;5;0.9824;0.9612;-0.0213
CMP;0.75;0.0;1;60;5;1.0000;0.9960;-0.0040
CMP;0.75;0.0;1;80;5;1.0000;0.9980;-0.0020
CMP;0.75;0.0;40pos;16;5;0.9783;0.9078;-0.0706
CMP;0.75;0.0;40pos;24;5;0.9882;0.9565;-0.0317
CMP;0.75;0.0;40pos;32;5;0.9771;0.9476;-0.0295
CMP;0.75;0.0;40pos;48;5;1.0000;1.0000;+0.0000
CMP;0.75;0.0;40pos;64;5;1.0000;1.0000;+0.0000
CMP;0.75;0.0;40pos;8;5;0.9295;0.8823;-0.0473
CMP;0.75;0.0;60pos;12;5;0.8386;0.8166;-0.0220
CMP;0.75;0.0;60pos;24;5;0.9485;0.9087;-0.0399
CMP;0.75;0.0;60pos;36;5;0.9708;0.9180;-0.0529
CMP;0.75;0.0;60pos;48;5;0.9846;0.9826;-0.0020
CMP;0.75;0.0;60pos;72;5;1.0000;1.0000;+0.0000
CMP;0.75;0.0;60pos;96;5;1.0000;1.0000;+0.0000
CMP;0.75;0.1;1;10;5;0.9167;0.8140;-0.1027
CMP;0.75;0.1;1;20;5;0.9477;0.9015;-0.0461
CMP;0.75;0.1;1;30;5;0.9588;0.8961;-0.0627
CMP;0.75;0.1;1;40;5;0.9842;0.9539;-0.0303
CMP;0.75;0.1;1;60;5;0.9707;0.9472;-0.0235
CMP;0.75;0.1;1;80;5;0.9820;0.9801;-0.0020
CMP;0.75;0.1;40pos;16;5;0.8738;0.8609;-0.0129
CMP;0.75;0.1;40pos;24;5;0.9559;0.9039;-0.0519
CMP;0.75;0.1;40pos;32;5;0.9545;0.9426;-0.0119
CMP;0.75;0.1;40pos;48;5;0.9745;0.9368;-0.0377
CMP;0.75;0.1;40pos;64;5;0.9901;0.9823;-0.0078
CMP;0.75;0.1;40pos;8;5;0.6713;0.6532;-0.0181
CMP;0.75;0.1;60pos;12;5;0.7455;0.8056;+0.0601
CMP;0.75;0.1;60pos;24;5;0.8629;0.8197;-0.0432
CMP;0.75;0.1;60pos;36;5;0.9595;0.8946;-0.0649
CMP;0.75;0.1;60pos;48;5;0.9424;0.9000;-0.0424
CMP;0.75;0.1;60pos;72;5;0.9683;0.9437;-0.0246
CMP;0.75;0.1;60pos;96;5;0.9505;0.9257;-0.0248
CMP;0.75;0.2;1;10;5;0.3811;0.2472;-0.1339
CMP;0.75;0.2;1;20;5;0.8940;0.7841;-0.1099
CMP;0.75;0.2;1;30;5;0.9341;0.9432;+0.0091
CMP;0.75;0.2;1;40;5;0.9171;0.8621;-0.0550
CMP;0.75;0.2;1;60;5;0.9234;0.9452;+0.0218
CMP;0.75;0.2;1;80;5;0.9297;0.8891;-0.0406
CMP;0.75;0.2;40pos;16;5;0.8326;0.7935;-0.0391
CMP;0.75;0.2;40pos;24;5;0.8001;0.7764;-0.0238
CMP;0.75;0.2;40pos;32;5;0.7542;0.6964;-0.0578
CMP;0.75;0.2;40pos;48;5;0.9481;0.9391;-0.0090
CMP;0.75;0.2;40pos;64;5;0.8433;0.8100;-0.0332
CMP;0.75;0.2;40pos;8;5;0.4380;0.4900;+0.0520
CMP;0.75;0.2;60pos;12;5;0.5581;0.5155;-0.0426
CMP;0.75;0.2;60pos;24;5;0.8519;0.7155;-0.1364
CMP;0.75;0.2;60pos;36;5;0.7156;0.7140;-0.0016
CMP;0.75;0.2;60pos;48;5;0.9400;0.8671;-0.0729
CMP;0.75;0.2;60pos;72;5;0.9054;0.8472;-0.0582
CMP;0.75;0.2;60pos;96;5;0.9532;0.9580;+0.0048
CMP;1.0;0.0;1;10;5;0.9335;0.8430;-0.0905
CMP;1.0;0.0;1;20;5;0.9224;0.8476;-0.0748
CMP;1.0;0.0;1;30;5;0.9614;0.9252;-0.0362
CMP;1.0;0.0;1;40;5;0.9921;0.9637;-0.0284
CMP;1.0;0.0;1;60;5;0.9922;0.9846;-0.0076
CMP;1.0;0.0;1;80;5;0.9980;0.9809;-0.0171
CMP;1.0;0.0;40pos;16;5;0.9283;0.8262;-0.1021
CMP;1.0;0.0;40pos;24;5;0.9499;0.8989;-0.0510
CMP;1.0;0.0;40pos;32;5;0.9862;0.9582;-0.0281
CMP;1.0;0.0;40pos;48;5;1.0000;1.0000;+0.0000
CMP;1.0;0.0;40pos;64;5;1.0000;1.0000;+0.0000
CMP;1.0;0.0;40pos;8;5;0.8664;0.8298;-0.0366
CMP;1.0;0.0;60pos;12;5;0.9403;0.8596;-0.0806
CMP;1.0;0.0;60pos;24;5;0.9432;0.8325;-0.1107
CMP;1.0;0.0;60pos;36;5;0.9384;0.8204;-0.1180
CMP;1.0;0.0;60pos;48;5;0.9901;0.9603;-0.0298
CMP;1.0;0.0;60pos;72;5;0.9751;0.9387;-0.0365
CMP;1.0;0.0;60pos;96;5;0.9960;0.9719;-0.0241
CMP;1.0;0.1;1;10;5;0.8120;0.7461;-0.0659
CMP;1.0;0.1;1;20;5;0.9214;0.8351;-0.0863
CMP;1.0;0.1;1;30;5;0.9320;0.8346;-0.0974
CMP;1.0;0.1;1;40;5;0.9862;0.9460;-0.0401
CMP;1.0;0.1;1;60;5;0.9701;0.9622;-0.0079
CMP;1.0;0.1;1;80;5;0.9504;0.8650;-0.0854
CMP;1.0;0.1;40pos;16;5;0.9182;0.8887;-0.0295
CMP;1.0;0.1;40pos;24;5;0.9262;0.7957;-0.1305
CMP;1.0;0.1;40pos;32;5;0.9255;0.8812;-0.0443
CMP;1.0;0.1;40pos;48;5;0.9445;0.8593;-0.0851
CMP;1.0;0.1;40pos;64;5;0.9824;0.9237;-0.0587
CMP;1.0;0.1;40pos;8;5;0.8516;0.7985;-0.0531
CMP;1.0;0.1;60pos;12;5;0.8619;0.7201;-0.1418
CMP;1.0;0.1;60pos;24;5;0.8520;0.8196;-0.0324
CMP;1.0;0.1;60pos;36;5;0.9352;0.8870;-0.0482
